model,val_avg_mae,val_avg_rmse,test_avg_mae,test_avg_rmse
Persistence,0.29681441709399226,1.1614576080938432,0.10363701023161412,0.5254738475763197
Ridge,1.4586864948272704,2.1893667697080224,2.094918119907379,3.2316423272950603
ExtraTrees,1.5280452052282203,2.337605030956276,2.316568439655593,2.954493707328658
RandomForest,2.1645696798793552,3.171042038835385,2.6813892092939575,3.4639456113591285
HistGBDT,2.287897302124228,3.2898183981114313,4.138817331342889,5.0056886112929995
KNN,4.02769298387542,5.832428952292419,9.47964010299421,12.613499144624525
MLP,34.22065091133118,80.67640267530872,33.467121315002444,62.32720677709418
