model,device,val_avg_mae,val_avg_rmse,test_avg_mae,test_avg_rmse
Persistence,cpu,0.29681441709399226,1.1614576080938432,0.10363701023161412,0.5254738475763197
LightGBM,gpu,1.197572922706604,1.8056477923289531,1.6891294360160827,2.2113835057614324
XGBoost,cuda,1.6485886871814728,2.202345471396588,1.7802591562271117,2.2820947461753427
